coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Mon Nov 09 12:16:47 +0000 2020,Pfizer vaccine Pharma,,https://twitter.com/pfizer/status/1325767629890592771,0,1325774333504073728,,,,en,,false,1325767629890592771,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Great job by the #Pfizer #vaccine scientists who look to have come up with a viable candidate. Fingers crossed that they hit their long-term efficacy endpoints(s) and the safety outcomes don't put the kibosh on it. #Pharma https://t.co/94b0EErqsp,https://twitter.com/NJTrainDelays/status/1325774333504073728,Wed Mar 26 18:32:36 +0000 2014,2412988891,false,"WFH for as long as I can.
 #NJTransit still sucks. I was on QVC once and did hand modeling for an Rx incontinence product (not at the same time).",163340,3011,3859,90,Trapped on #NJTransit ,NJTrainDelays wishes you a Happy Hanukkah,NJTrainDelays,130949,,https://m.youtube.com/watch?feature=youtu.be&v=dQw4w9WgXcQ,false
,Tue Nov 10 03:04:07 +0000 2020,,,https://twitter.com/RickSacrop/status/1306750049603420160,0,1325997637640876032,,,,en,,false,1306750049603420160,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Bother is Profs.of different sections who tell public all about Stats re coronavirus how its dealt with.Their boring of little interest.I am not criticising just to do it. It is facts people will understand.Rushed vaccines aren’t answer. Scientists know it but will they admit it. https://t.co/c4kq10ZENn,https://twitter.com/James82224273/status/1325997637640876032,Tue Jan 08 01:08:23 +0000 2019,1082443865657880576,true,"Ret. Detective,decorated twice, lost granddaughter 2018 can’t stand SNP, want them out power, football fan Rangers&Motherwell Scotland remains U.K.forever.",129623,2742,2793,8,"Lanarkshire ,Scotland",James,James82224273,213765,,,false
,Mon Nov 09 20:07:20 +0000 2020,,,https://twitter.com/Reuters/status/1325891036212768768,0,1325892752467488770,,,,en,,false,1325891036212768768,0,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","They say the vaccine will be tested on animals, then I won’t take it.   Never, leave animals alone. Test it on humans they are the ones who have the COVID-19 https://t.co/7m4hL4JSm3",https://twitter.com/thereselawlor4/status/1325892752467488770,Sat Nov 07 03:52:02 +0000 2020,1324922462031765504,true,I love animals and people who loves animals. that’s it . j’aime les animaux et les gens qui aiment les animaux. 🇨🇦 N.B. acadienne,24371,165,289,0,Montreal Canada ,t. lawlor,thereselawlor4,16350,,,false
,Mon Nov 09 20:19:25 +0000 2020,,,https://twitter.com/Reuters/status/1325891036212768768,0,1325895792054427648,,,,en,,false,1325891036212768768,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I don’t care who tf you voted for. If this goes through the proper scientific/medical procedures, like every other vaccine we take, and is backed by science and scientists don’t fight it. We all should be happy with this news. https://t.co/ZCo9kyZ1Df",https://twitter.com/_SARAHCURTISS_/status/1325895792054427648,Mon Oct 27 21:53:29 +0000 2014,2847366520,false,Rowan '21💛  VIII.XXI.MMXVIII❤️ she/they,350,146,186,0,,Sarah,_SARAHCURTISS_,473,,,false
,Thu Nov 19 00:10:06 +0000 2020,,,https://twitter.com/nprpolitics/status/1329206524179312648,0,1329215336344809472,,,,en,,false,1329206524179312648,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","This is the vaccine that's so unstable that it has to be kept at super sub-zero temperatures, right?  If the dissemination of the vaccine is supervised by any Trump admin functionaries, thanks but no thanks, I'll wait for the Moderna vaccine. https://t.co/MUBBODsm9E",https://twitter.com/KaJo503/status/1329215336344809472,Sun Jun 07 01:09:39 +0000 2009,45253942,false,"Born during WWII, that should tell you a lot...",42032,980,390,48,Upper Left Coast,Karen J,KaJo503,158038,,,false
,Wed Nov 18 23:37:29 +0000 2020,,,,2,1329207129752866819,,,,en,,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Worried about hypothetical long-term effects of a vaccine? You know what has real long-term effects, including death? COVID-19",https://twitter.com/chloeblanchard/status/1329207129752866819,Thu Jun 25 00:15:18 +0000 2009,50491468,false,People nerd. Empathy addict.,7459,184,475,12,Canada,Chloe Blanchard,chloeblanchard,6054,,,false
,Wed Nov 18 13:30:42 +0000 2020,,,https://nyti.ms/36PmJai,35,1329054427685249027,,,,en,,false,,5,,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","""It's pretty amazing,"" one immunologist said. Pfizer and BioNTech reported that their coronavirus vaccine is 95 percent effective. https://t.co/bpdOMN4DzS",https://twitter.com/NYTScience/status/1329054427685249027,Sun Mar 18 19:32:05 +0000 2007,1435461,false,"Science, Medicine, Environment, Space & Astronomy. Sign up for the Science Times email, in your inbox every Tuesday: https://t.co/kpdN2C1hDy",4536,1181964,464,18155,"New York, NY",NYT Science,NYTScience,107585,,http://www.nytimes.com/science,true
,Thu Dec 03 11:49:42 +0000 2020,,,https://twitter.com/CNN/status/1334429942927470594,0,1334464827666870272,,,,en,"New York, USA",false,1334429942927470594,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",They'll not get the same vaccine as everyone else. https://t.co/euodxe9lrP,https://twitter.com/Eramos503/status/1334464827666870272,Fri Mar 18 02:50:18 +0000 2011,268069944,false,"—PUNY THEOLOGY PRODUCES PUNY DOXOLOGY--



🇸🇻 🇺🇸

 El Café Negro & Dulce Por Favor.",43620,266,67,4,"New York, USA",Enmanuel Ramos,Eramos503,22860,,http://gty.org,false
,Mon Dec 07 22:36:37 +0000 2020,COVID19 SARSCoV2 coronavirus vaccine pandemic,,https://twitter.com/NPR/status/1336002361429463040,0,1336077180095377408,,,,en,,false,1336002361429463040,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","South Korea has been a leader in mitigating #COVID19 #SARSCoV2 #coronavirus spread. But as with any virus, without the elimination threshold, you are always a few weeks away from trouble. The ABCs of prevention and the #vaccine need to go hand in hand to beat this #pandemic. https://t.co/g0OByFs1jS",https://twitter.com/JATetro/status/1336077180095377408,Mon Apr 06 19:13:41 +0000 2009,29270273,false,Host of 2X award winning Super Awesome Science Show on @curiouscast. 30yrs micro/immuno research. Wrote The Germ Code & The Germ Files. Answering #COVID19 Qs.,19887,11896,7198,464,Canada,Jason 𝑻𝒉𝒆 𝑮𝒆𝒓𝒎 𝑮𝒖𝒚 Tetro,JATetro,92330,,http://jasontetro.com,true
,Mon Nov 09 13:46:05 +0000 2020,,,,0,1325796807738318850,,,,en,,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I’m only gonna take the vaccine because if my great great grandkids die of COVID-19 it will be 100% my fault,https://twitter.com/queencityd/status/1325796807738318850,Thu Aug 08 01:13:05 +0000 2013,1654222872,false,#BLM l yes. i am an african american | #HERETHEYCOME|#AllFly| @thottrader| steppin on niggas| he/him,173818,680,1105,2,704,#HowieToTheGulag2024 🇺🇸(10-10),queencityd,92446,,,false
,Mon Nov 09 15:17:50 +0000 2020,ibelieveinscience covid19 vaccine goodnews,,https://www.bbc.com/news/health-54873105,3,1325819898421862400,,,,en,,false,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",While we have been fighting and struggling (and also helping each other and coping) ...scientists have been hard at work for us. 👩🏻‍🔬👨🏽‍🔬   https://t.co/8Wj2wiK7B3 😃❤️😃❤️😃❤️ #ibelieveinscience #covid19 #vaccine #goodnews,https://twitter.com/juliaherself/status/1325819898421862400,Sat Aug 01 22:15:34 +0000 2009,62130851,false,she/her ♡ ☆･:*:･｡･:*:.｡.,9878,359,633,42,"Vancouver, BC",Julia,juliaherself,19243,,https://boxd.it/aqxRK,false
,Mon Nov 09 18:11:18 +0000 2020,COVID19 vaccine Pfizer,,https://immunitybio.com/immunitybios-had5-covid-19-vaccine-candidate-stimulates-memory-t-cell-recall-in-patients-infected-with-sars-cov-2/,0,1325863550821130241,,,,en,,false,,0,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Good news coming out of @immunitybio  and @NantKwest for #COVID19 #vaccine but overshadowed by #Pfizer data released on same day. Timing and Perception is all important when delivering news. https://t.co/FDxoY7NI1D,https://twitter.com/tweetietat/status/1325863550821130241,Sun Dec 12 05:43:58 +0000 2010,225686060,false,One voice among many,13882,70,1271,0,Third rock from the Sun,CAL,tweetietat,1155,,,false
,Mon Nov 09 19:48:00 +0000 2020,,,https://twitter.com/wmbfnews/status/1325819922459594752,0,1325887886953209856,,,,en,"South Carolina, USA",false,1325819922459594752,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Over my dead fucking body will I take a vaccine or anything else from this administration. HELL NO https://t.co/YVoLEuonDf,https://twitter.com/toribrookesnell/status/1325887886953209856,Tue Dec 06 20:26:57 +0000 2016,806233489792180224,false,"Stokes County, NC native 🍃",2832,72,185,0,"South Carolina, USA",Tori Brooke Snell,toribrookesnell,2076,,http://www.farmasius.com/toribrookesnell,false
,Mon Nov 09 18:10:16 +0000 2020,,https://twitter.com/DineshA58/status/1325863291298734080/photo/1,http://hindustantimes.com/world-news/mad,0,1325863291298734080,,,,en,,false,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Good news 
Very good night 

Leaders hail Pfizer announcement in Covid-19 vaccine development

https://t.co/DpqziRQtrx… https://t.co/ddVItXlhN7",https://twitter.com/DineshA58/status/1325863291298734080,Sun Jun 12 08:12:32 +0000 2016,741906012194607104,false,"flow with the wind ,punctuated with Sanskar ,and self https://t.co/fGEwqnlIGI political affiliation,poet by passion independent opinions",7541,1278,983,3,"West Bengal, India",Dinesh Agarawal,DineshA58,38661,,,false
,Fri Nov 20 06:45:30 +0000 2020,COVID19 coronavirus bioethics Vatican CatholicChurch,,https://www.catholicnewsagency.com/news/the-ethics-of-modernas-coronavirus-vaccine-80858,2,1329677231128457216,,,,en,,false,,1,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",".@Bishopoftyler: ""Moderna vaccine is not morally produced"" #COVID19 #coronavirus #bioethics #Vatican #CatholicChurch https://t.co/92fTn2qSkS",https://twitter.com/kattolikamente/status/1329677231128457216,Fri Oct 02 15:42:51 +0000 2009,79211525,false,"I am an Italian Catholic, husband, teacher, blogger and writer. I'm in an ecclesial movement. Proud to be Catholic therefore counter-revolutionary.",12594,6244,2389,186,"Rome, Italy",Kattoliko Pensiero,kattolikamente,92799,,http://about.me/kattolikamente,false
